ID_ARBRE,commune,quartier,site,cote_voirie,matricule_arbre,genre_arbre,espece_arbre,controle,situation,type_sol,surf_permeable,date_plantation,classe_age,hauteur,classe_hauteur,diametre,circonference (en cm),classe_circonference,port_arbre,vigueur_pousse,champignon_collet,insecte_collet,plaie_collet,observation_collet,champignon_tronc,insecte_tronc,fissure_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,plaie_tronc,observation_tronc,champignon_houppier,insecte_houppier,fissure_houppier,ecorce_incluse_houppier,bois_mort_houppier,plaie_houppier,observation_houppier,esperance_maintien,contrainte,classification_diagnostic
78551-Arbres-001,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,7,Betula, Alba,,Groupe,P,5,2000,A,1000,H2,63.66197724,100,C2,SL,P,Non,Non,RCPLNS,,Non,Non,TPF,Non,Non,Non,TPLNC,,Non,Non,HPF ,Non,HBMI ,HPLC,,1,Non,C2
78551-Arbres-002,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,8,Betula, Alba,,Groupe,P,5,2000,A,1000,H2,60.47887837,95,C2,SL,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLC,,Non,Non,HPF ,Non,HBMI ,HPLC,,1,Non,C2
78551-Arbres-003,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,9,Betula, Alba,,Groupe,P,5,2000,A,1000,H2,54.11268065,85,C2,SL,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLCF,,Non,Non,HPF ,Non,HBMI ,HPLC,,1,Non,C2
78551-Arbres-004,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,1,Carpinus, Betulus - L. - Fastigiata,,Bosquet,G,100,1980,A,1600,H4,63.66197724,100,C2,L,P,Non,Non,RCPPL,Cépée,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HBMI ,HPLS,,1,Non,C2
78551-Arbres-005,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,2,Carpinus, Betulus - L. - Fastigiata,,Bosquet,G,100,1980,A,1600,H4,190.9859317,300,C6,L,P,Non,Non,RCPPL,Cépée,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HBMI ,HPLS,,1,Non,C2
78551-Arbres-006,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,3,Betula, sp. -  - ,,Groupe,G,100,1990,A,1800,H4,66.8450761,105,C3,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-007,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,4,Betula, sp. -  - ,,Groupe,G,100,1990,A,1800,H4,57.29577951,90,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-008,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,5,Betula, sp. -  - ,,Groupe,G,100,1990,A,1800,H4,47.74648293,75,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-009,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Carrefour RN13,,6,Prunus, Cerasifera - Ehrh. - Nigra,,Isolé,G,100,1990,A,1000,H2,47.74648293,75,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,Axe 3 Mort 2M Nord,1,Non,C2
78551-Arbres-010,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,1,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,41.3802852,65,C2,L,P,Non,Non,RCPLS,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-011,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,2,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,38.19718634,60,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,Autres,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-012,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,3,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,38.19718634,60,C2,L,P,Non,Non,RCPLS,Choc collet,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-013,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,4,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,41.3802852,65,C2,L,P,Non,Non,RCPLS,Choc collet,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-014,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,5,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,44.56338407,70,C2,L,P,Non,Non,RCPPL,Racine de surface abimée,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-015,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,7,Fraxinus, Angustifolia - L. - Raywood,,Alignement,G,100,2010,JA,1200,H3,38.19718634,60,C2,L,P,Non,Non,RCPLNS,Choc collet,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C2
78551-Arbres-016,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,8,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,44.56338407,70,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-017,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,10,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,50.92958179,80,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-018,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,11,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,47.74648293,75,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-019,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,12,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,47.74648293,75,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,Problème de coupe,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-020,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,13,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,50.92958179,80,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,,Non,Non,HPF ,Non,HPBM ,HPLS,,1,Non,C1
78551-Arbres-021,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,14,Fraxinus, Angustifolia - L. - Raywood,,Alignement,S,5,2010,JA,1200,H3,63.66197724,100,C2,L,P,Non,Non,RCPPL,,Non,Non,TPF,Non,Non,Non,TPLS,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,Axe 3 Mort 2M Nord,1,Non,C1
78551-Arbres-022,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,1,Tilia, Platyphyllos -  - Flamme du Vercor,,Alignement,Gr,0,2015,J,400,H1,28.64788976,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,,Non,Non,HPF ,Non,HPBM ,HPPL,,3,Non,C1
